country_name,GDP Growth (% Annual),GDP per Capita (Current USD),Unemployment Rate (%),Inflation (CPI %),Current Account Balance (% GDP)
Afghanistan,0.07265577393662925,0.028886801672706543,0.5173198268379606,0.19746879790789784,0.5153406505794168
Angola,0.2990405865752914,0.0541828689411861,0.5651294355589954,0.4751489584269451,0.79228507638799
Albania,0.36367555584888545,0.05995219130929269,0.5461551534266189,0.19044609764948725,0.616801108979375
Armenia,0.40957713796966216,0.05014772370660118,0.636346401679537,0.2652721353396133,0.6644293653219812
Australia,0.42235360529520727,0.5231444579037918,0.21591278595310417,0.1700815022487087,0.7044589610144599
Austria,0.30776591073050197,0.4411342575522009,0.24838732978278646,0.19041617602403052,0.738136595038381
Azerbaijan,0.31515358851032477,0.08468111042795257,0.2619815640732918,0.2375372402269456,0.8325788662500441
Burundi,0.3243804185344015,0.024070389626743783,0.13940319922913907,0.3058740491574665,0.5530106016019555
Belgium,0.3570644311987498,0.42666042695614315,0.25700382178588377,0.19096408774154874,0.7161133364251828
Benin,0.582421208704332,0.044960735422946256,0.14993467502196298,0.15533835583122735,0.6598936322539516
Burkina Faso,0.6038607440220339,0.036157295421682896,0.2523465681185546,0.1688145964675933,0.65557480002219
Bangladesh,0.7313297195542313,0.04452236404701682,0.19785485348573703,0.26621991393021244,0.7137185973397068
Bulgaria,0.27675471366802645,0.09454304972597173,0.26202761531921254,0.015,0.74875631138087
Bahrain,0.46585784362692534,0.2598490393285923,0.10208696298578077,0.19127646113444216,0.7442840973330703
"Bahamas, The",0.3478384192078138,0.2736081620452395,0.4800991995264876,0.19692142839456656,0.5928680503877117
Bosnia and Herzegovina,0.43529450086105476,0.06971305834527294,0.7420952568853036,0.16394726802332155,0.6676846823458369
Belarus,0.19155137823082508,0.08313818769382314,0.28696237800218044,0.29466875059575887,0.6866977816808844
Belize,0.25682316081680645,0.079050484302262,0.3789659882328511,0.13973971831169013,0.6384612001080311
Bolivia,0.5346236802983525,0.0573502494063917,0.015,0.21946390201497834,0.7332212929756307
Brazil,0.2555299994595869,0.10880067351474622,0.42275815171337056,0.23556581095572496,0.6731059947873655
Barbados,0.13448298783455834,0.17581868301998474,0.4171560293353412,0.21579816841684643,0.6642485509556693
Brunei Darussalam,0.19955976266212794,0.2596211504713489,0.28857276903336226,0.15161091074224975,0.8001486235051704
Bhutan,0.5924701276422976,0.0650890507348573,0.09738155420850865,0.2831443024702495,0.497626685720659
Botswana,0.46304777009988074,0.08486065089927394,0.7351660638317008,0.2499426092930686,0.7042292800818252
Canada,0.314180268648401,0.43602606363350443,0.3089603802664064,0.22858272310057415,0.6698089438616618
Switzerland,0.3902708403463967,0.7429718647388089,0.2629757567072895,0.1552897787860969,0.794212409674933
Chile,0.27767566173163627,0.15101189578800941,0.32736568406086547,0.2008398587942685,0.6604104883786199
China,0.6432479531608829,0.0960872997648901,0.23645374549743448,0.1951511308764511,0.7241929331965163
Cote d'Ivoire,0.6616264613285322,0.04434334926146351,0.16356631133961247,0.1789477631355188,0.7029431916944057
Cameroon,0.3551264898845853,0.04206065743554423,0.23302678476044522,0.21113289710918348,0.669076792060552
"Congo, Dem. Rep.",0.5739037359737513,0.04548453174808749,0.2389145651207821,0.18079804161143406,0.6665900151344475
"Congo, Rep.",0.21862730785721385,0.043329776175854776,0.7411768033562697,0.20959392557996293,0.8145664681338166
Colombia,0.40370722023839656,0.08015085566778563,0.39676584671293147,0.21193234554228196,0.6819278371032891
Comoros,0.3873022488010887,0.03834508292246652,0.22944998215221588,0.1552450900969965,0.6941281632995943
Cabo Verde,0.31866621861745736,0.05521178093647287,0.48523309527722,0.16872690869197596,0.6828682086332329
Costa Rica,0.46845906856447483,0.14020800376368683,0.3904465404644318,0.16078674276421112,0.6862268083010621
Cyprus,0.4219031770240431,0.27151786124586524,0.2998345194061556,0.17887203656301015,0.6477196978877007
Czechia,0.502855393333514,0.21569810711515103,0.08043095550724855,0.20959400628017347,0.715510746235184
Germany,0.44095930352088525,0.431147047868392,0.15292169441468367,0.1847250738643322,0.7707212462895081
Djibouti,0.5717614613684859,0.0656085445299652,0.8668707570614457,0.22325910533584187,0.7902907530075227
