,count,mean,std,min,25%,50%,75%,max
GDP Growth (% Annual),171.0,3.140309978403839,2.4074366658378468,-2.621045118617605,1.6252333478418877,3.0823982686177223,4.55024420656617,11.658579162705646
GDP per Capita (Current USD),171.0,15380.946193541035,20770.252195633955,-3004.6709843969084,2868.7071955801116,6434.217535102938,18554.288853992643,116850.21989457867
Unemployment Rate (%),171.0,7.271194358445146,6.168374763415581,-2.9474632352939323,3.366290441176476,5.295544117646992,10.26217279411761,28.507264705882324
Inflation (CPI %),171.0,5.8581145120006175,7.940404678181451,-7.374444572212774,1.950027354569849,3.6395706822132334,6.551161792084527,44.59504232344674
Current Account Balance (% GDP),171.0,-2.0508648316081572,10.209862975033456,-74.23214033872652,-5.538195933191245,-2.0991030173161844,2.425634250014657,30.338365347323553
