rank,country_name,GDP Growth (% Annual),GDP per Capita (Current USD),Unemployment Rate (%),Inflation (CPI %),Current Account Balance (% GDP),score,normalized_score
1,"Macao SAR, China",7.107954112036766,69984.68759544118,2.313080882352931,2.649771225463241,30.338365347323553,0.32180557077254257,100.0
2,Luxembourg,2.3392845704117526,116850.21989457867,5.957830882352912,1.555046159352904,6.565530675816187,0.3091119749297573,97.63624936918869
3,Qatar,2.684872848595536,74674.76655573529,-0.47019117647054876,2.897412164051418,15.395619137132293,0.2871100113050841,93.53913173278092
4,Iceland,5.018756419963279,75941.24994470537,0.029397058823627198,4.977081896573494,3.8486112278969777,0.2857303456209226,93.28221590911387
5,"Hong Kong SAR, China",11.658579162705646,47505.812645323414,3.430000000000002,2.6514467261911574,7.107858280264664,0.2805134371278014,92.31074408235735
6,Switzerland,2.951875849485231,86044.14079002204,5.324367647058817,0.6958855514411549,8.81905296311759,0.26661355875385995,89.7223643449263
7,Singapore,3.2447290769043846,60701.94083566171,0.5935367647059597,4.006681994735226,17.262082645779458,0.2537996758703227,87.33621434265422
8,Norway,0.4208471302868132,86860.7043607353,3.3410147058823636,1.5810798328088305,7.407266396566193,0.2520614947917013,87.0125372166497
9,Ireland,5.446746575066177,68745.63604416174,6.202132352941184,-0.3603928352867416,2.101291116176444,0.2441910524151069,85.54693492689248
10,Germany,3.6756880590146173,48670.41139066168,1.8626470588236352,2.225622733279374,6.36257012875008,0.21436340606211968,79.99254996334703
11,Australia,3.4100056788602533,59696.7509316029,3.8440147058823824,1.464603830095577,-0.5665105503750212,0.21181350248438024,79.51771712125561
12,Denmark,2.0309357927940925,63480.17772301461,4.852492647058848,1.4906883631838057,8.152172416897038,0.2096094962476306,79.10729589806927
13,Israel,4.120875135242635,44973.73874286749,3.3988161764706093,1.8204841420293818,3.7245511164485166,0.19689483583357908,76.73962270707607
14,United States,2.453573024889696,60293.763635882315,3.7947500000000343,2.8193709606690796,-1.9696061778088476,0.19617715434654454,76.60597893200159
15,Saudi Arabia,4.698316165985229,28261.48570709554,0.40858823529426935,2.4217803742499617,7.733571631602894,0.195303989158649,76.44338160424252
16,Bahrain,4.031229856882328,28139.507269338163,0.26365441176473203,2.566094968161744,3.5980240934779406,0.1827065180028138,74.09753092804054
17,Netherlands,1.9082394176250104,51081.62925455892,4.976294117647057,3.1403862277279035,8.742481541845528,0.175973132322926,72.8436667869842
18,Czechia,4.559540966021996,22847.802106691106,-0.41752941176457714,3.5180483905734796,0.589180218889706,0.1746529075812456,72.597819817803
19,Austria,1.7737364532132347,49867.42731750004,4.865492647058843,2.521386392389676,2.9551766698161392,0.16698887260287998,71.17065388790867
20,Malta,3.8207702749485786,29219.846681639698,4.807669117647038,0.8062378364044174,12.390896232926128,0.16601916085442708,70.99007804592506
21,Guinea-Bissau,8.167679455146965,-242.64110215591018,-0.31838235294099215,2.0774038102426005,-2.117661621580835,0.16526456882387033,70.84956093711484
22,Belgium,2.4777008031249377,48132.66793080876,5.136522058823589,2.549861083213218,0.6521933797793437,0.16519799888784498,70.83716454997428
23,Togo,9.508654456587994,376.74206126691354,3.004661764705897,-0.7065696218158963,-5.433021291,0.1601896266701151,69.90452551406818
24,Bolivia,5.013180167941147,3869.0369000882024,-2.9474632352939323,4.030981807624947,2.4411810475146414,0.15687152793969972,69.28664244419154
25,Papua New Guinea,5.470968469426402,3547.3071855587614,-0.2806764705881304,5.415283682933803,14.71183068990443,0.15583796980397602,69.09417738341955
26,"Korea, Rep.",3.3751207543235218,30606.17200669117,3.6555661764705807,2.177966738014676,3.5918309119190885,0.15548565462404715,69.02857066022497
27,Kuwait,0.18082858219856646,34171.85212404411,2.29811764705883,7.943159551264495,28.694462951426335,0.15397903756680129,68.74801445979418
28,New Zealand,2.004597996301456,45044.22154627936,6.283794117647022,0.4410596799485602,-0.30998318053682894,0.1514031619013549,68.2683451994442
29,Philippines,6.5067274482426445,4710.833714705807,-0.11160294117639724,5.178336499499917,2.4100874525146727,0.15106701243555795,68.20574879085632
30,Japan,1.0542481543749995,39992.50145504412,5.295544117646992,-0.05199718864706071,4.680143927558738,0.1477931349611017,67.5961004263353
31,Lao PDR,7.026554622573566,4378.903899867573,-1.3766102941175955,6.209101561220535,-7.478660836242648,0.1477377449692978,67.58578592367675
32,Malaysia,5.2584546056102806,9956.869369485301,2.2949191176470958,1.9307207569558873,4.204926920595576,0.14484291119714177,67.04672156084557
33,Myanmar,7.1480462990955,2190.486039551424,-0.8596029411764218,7.623176251617598,-2.254649276580886,0.1423916724868644,66.59026169561515
34,Cote d'Ivoire,6.826732163735283,2310.096302544103,2.1974705882353103,1.9253788590661538,-0.7250153146764933,0.13909015480679968,65.97546628259408
35,Indonesia,6.371141004514694,12394.923779529134,3.303786764705895,4.803151862507303,-0.811847888735264,0.13534756500575235,65.27853618393165
36,Thailand,2.8729522110661625,6242.828612097794,0.7930294117647042,0.6516487689706025,7.850497760227842,0.13412616081864864,65.05109118304303
37,Canada,1.8653310742867635,49255.18529278603,6.770801470588242,4.504882260536683,-4.18988036607343,0.1336482580981691,64.96209805052243
38,China,6.564293972250021,8511.861843779408,4.490124999999999,2.767459566544087,1.4970808998970675,0.13099429534518356,64.46788772515707
39,Benin,5.695710915154412,2384.093053558807,1.7686911764705884,0.6984100755514906,-5.226729514926447,0.1290360700777429,64.10323485070667
40,Viet Nam,6.1068056439632405,2951.8818773749954,1.5463823529411764,4.990775775617564,0.6251144430588056,0.12818094692616155,63.943997238763906
41,Cambodia,6.573789331051556,-3004.6709843969084,0.4729632352941216,2.6508785605588256,-9.576363491198466,0.1273148102607731,63.78270873434501
42,Bangladesh,7.82206850238232,2331.552100132318,3.276007352941215,6.460867756147006,0.40177430262496444,0.12518014238836817,63.385199423944385
43,United Kingdom,0.40025840277208014,42460.35469440443,5.030095588235286,2.780767719963226,-3.7603085878750333,0.1251717061323361,63.38362845809953
44,Oman,1.020497822566207,20889.238097713234,3.391566176470589,0.27924791728679077,6.213647511551322,0.12364959012180077,63.10018610459842
45,Guatemala,3.7503070942426433,4379.601097879405,2.711588235294115,1.7269894534485668,10.047901731006993,0.12322100727525316,63.02037712167279
46,Solomon Islands,3.6898992251028946,3863.56796245579,-0.9819191176469898,4.229458743632302,-2.589995329536772,0.12310700023632279,62.99914718702493
47,Hungary,3.388063146573521,16113.092036911685,1.7436764705882908,5.397595524507231,-0.5514498147279094,0.12225296089094775,62.84011139713761
48,Cyprus,3.403573732382343,29538.072646919107,6.4837500000000245,1.921443387948513,-6.499763987794077,0.11758985938408695,61.97176729158266
49,Timor-Leste,2.625172504382345,1843.616637397044,3.5045735294117617,2.2625024855882407,23.49528509763971,0.11703834080077755,61.86906570762268
50,Nicaragua,4.557931000404393,2758.07832809556,-1.2384338235292516,6.840240616080824,-7.766591781110314,0.11448521461218504,61.39363276383186
51,Brunei Darussalam,0.228593313867622,28112.193675220715,6.12951470588237,0.5046966668455793,9.43980584520603,0.11239617113614146,61.00461944597861
52,Maldives,7.168191977249987,9844.502813867644,5.6840882352941104,1.9693339521838107,-13.429392248110391,0.11228849091768169,60.9845676665252
53,France,1.2441194329558698,42105.79243720584,8.895595588235306,2.1010192397940886,-0.7548268244338489,0.10950086591352129,60.46546729152828
