,count,mean,std,min,25%,50%,75%,max
GDP Growth (% Annual),171.0,2.388194002505961,3.95589803432106,-8.492146224021553,0.44607274284376786,2.211078495867582,4.279650627918983,35.15276323063836
GDP per Capita (Current USD),171.0,16517.349436368284,22861.512422339998,102.8969788235263,2403.076446932333,6028.335960485303,21435.336960974062,125255.06429669098
Unemployment Rate (%),171.0,6.851051320089479,6.526764451590654,-1.2192573529405308,2.570654411764764,4.684220588235462,9.433363970588232,36.36908823529393
Inflation (CPI %),171.0,9.193595295104576,21.1243662433531,-8.992805725968992,2.4429797495368106,4.65207676813219,7.159591436020165,160.94211400712447
Current Account Balance (% GDP),171.0,-2.036253392089817,11.400404722408455,-105.53949367174937,-4.963605980389943,-1.4368987383750351,2.5765384859816223,26.68403117556545
