country_name,GDP Growth (% Annual),GDP per Capita (Current USD),Unemployment Rate (%),Inflation (CPI %),Current Account Balance (% GDP)
Afghanistan,0.015,0.015,0.4545919759624939,0.04944062079992812,0.6342920823011595
Albania,0.29209282177427315,0.05497523550599897,0.27379712305225434,0.07138248251413254,0.7718381453445116
Algeria,0.23205857824743126,0.03139726909977032,0.39414653517251813,0.0906360942489907,0.7459864648494557
Angola,0.13055894739055074,0.015,0.42529257054213776,0.2159901280972748,0.8494288285803754
Armenia,0.3527434296441966,0.04922684307055293,0.3929520942328971,0.05911649764685865,0.8031256364993453
Australia,0.25238244572938523,0.4671817983996603,0.14451424731733786,0.07628894306121847,0.8071589610379905
Austria,0.22898527145142153,0.42590647503577966,0.18064266243348912,0.08298225633325675,0.8057042335628478
Azerbaijan,0.22084862101077324,0.03974043195300007,0.18864752939886367,0.0949804097923409,0.8507552302364626
"Bahamas, The",0.2709502276647238,0.2636983709998574,0.2154823489367608,0.07091680550151304,0.7088885808307148
Bahrain,0.25099514638643566,0.2321125907725384,0.06868113649899689,0.054928873954782895,0.8093003727551614
Bangladesh,0.34573162346608666,0.023854034857480708,0.17254233408938152,0.09372072870307241,0.7745244990056269
Barbados,0.2716332669330148,0.1688870141003913,0.2110351788873752,0.08087278169958832,0.7605002687446609
Belarus,0.1705530033676568,0.057242118496785954,0.10787233605533979,0.015,0.8404343271393294
Belgium,0.2438558980565957,0.4086046028842615,0.1536268966346815,0.07828217396264038,0.8001245408914479
Belize,0.28676472936602077,0.053904160395983815,0.26452876214172716,0.07611945247999184,0.7363584254577862
Benin,0.3698137606285418,0.015,0.0702407954593096,0.05766864372290093,0.7685715314194634
Bhutan,0.21194723787265615,0.029508264089141794,0.14941720632664995,0.06484410858535357,0.6307833784136868
Bolivia,0.2237332024642812,0.031101117998361124,0.16474932096246353,0.05532869209297054,0.7787507682843112
Bosnia and Herzegovina,0.2931665824276484,0.060969899047106674,0.17981402636729457,0.0821196592069608,0.7918401153926711
Botswana,0.24523420608783886,0.06248714834273679,0.6887129634791673,0.07501780047823446,0.7808851193961438
Brazil,0.20730773446975787,0.05573217708413698,0.33854869361689066,0.08344211180602185,0.7869828328685797
Brunei Darussalam,0.1877952039906348,0.19720846742544007,0.18112779403032703,0.06083733723038399,0.8028923944621794
Bulgaria,0.28114308981036346,0.10611011903212837,0.03863897112976424,0.09677246906697766,0.8014664663545964
Burkina Faso,0.2685183481616413,0.015,0.18896736414113233,0.08315631023410108,0.7697184058536014
Burundi,0.20596331946259083,0.015,0.049458775062264065,0.1499384423858712,0.6590514236286111
Cabo Verde,0.3230901044429592,0.034415390392158136,0.3918814792210018,0.06852763732941013,0.777221244846754
Cambodia,0.2946075561346154,0.020846546667859518,0.03315111555813479,0.0672061911533514,0.7144473765713406
Cameroon,0.25680464117992136,0.015,0.12555440467211598,0.07951600791197012,0.7672724331365631
Canada,0.2343615883267727,0.3970789903857057,0.18766944150201872,0.07547735261220745,0.7948633969767066
Chile,0.1907640033253909,0.12662156579876166,0.2892857317515549,0.09475270925149185,0.752296673714382
China,0.2759152658712677,0.1093786119293655,0.15821275954783584,0.052606510415540125,0.8056900960737882
Colombia,0.24183001383815902,0.04586827066105005,0.3324387741428675,0.10296960386336086,0.7628479547638448
Comoros,0.23563882505308506,0.015,0.13624412291433585,0.06916884431567212,0.7945674374971476
"Congo, Dem. Rep.",0.3300123549340989,0.015,0.16437784317924153,0.04835355404989098,0.7856881054841802
"Congo, Rep.",0.10547993805476742,0.015,0.5933763887625487,0.06697918981886523,0.8992683985191814
Costa Rica,0.27320941728612747,0.12653541293437381,0.3442476205566586,0.05287086405048422,0.7883967136032534
Cote d'Ivoire,0.355233745086497,0.01990473950620578,0.02893203560629497,0.07232933096877868,0.7501745161672612
Croatia,0.3482448991729687,0.14738318998548264,0.10475477869293648,0.08156930927652509,0.8074573739469608
Cyprus,0.3800676121714271,0.25887988663365485,0.15653455633443064,0.07155529064900844,0.747297303870762
Czechia,0.24252572756920085,0.2257323424230008,0.017756403296924968,0.10220036327434541,0.8028156626413561
Denmark,0.25994113267333174,0.5338632122397851,0.12933999606807292,0.06828477925529754,0.8708871981902506
Djibouti,0.2946670977219381,0.030449293588338713,0.7394682918575154,0.06091085791723353,0.9585274459101514
Dominican Republic,0.2804239042085896,0.08014497150727849,0.1880264435843668,0.08074551524981818,0.7921799515293367
Ecuador,0.22427641209439658,0.05361228818968224,0.15648780373295626,0.05124359000189346,0.8142490673575206
"Egypt, Arab Rep.",0.3148116073319486,0.029444236511585713,0.18622148017952977,0.15282542786133682,0.7686878946249722
El Salvador,0.2595788982586996,0.04092180154737642,0.11933552620638442,0.06797924600745145,0.7867297636911279
Estonia,0.2029271034115549,0.2388633240688222,0.09827983681580793,0.10149552013348587,0.7816871006091265
Eswatini,0.23265721864114267,0.02792089091413119,0.985,0.08228985300863118,0.8362973504351037
Ethiopia,0.30515600641224067,0.015,0.13913926308900174,0.19750654391641315,0.767677151936179
Fiji,0.2702421820938459,0.048762067273809155,0.15091309395608762,0.058930175280437105,0.6918217960903348
Finland,0.208960341887306,0.4107122883598497,0.22132681535557777,0.07290633102315498,0.7914160489439362
France,0.22385522865607319,0.33021160680518,0.21638238541944135,0.07187358540403602,0.7932971314046041
Gabon,0.1862621858102268,0.05413790864167715,0.5855487513240817,0.07031950104241838,0.8592322842498444
"Gambia, The",0.3632097604861358,0.015,0.12383688232525938,0.12223985164743098,0.7505331524035044
Georgia,0.3348467765725633,0.0511636341669541,0.21641798781888005,0.08584941629839014,0.7449633787191774
Germany,0.18942576212586823,0.41667226828216325,0.07697942983342906,0.07768303819981588,0.848534064103836
Ghana,0.22873756411090146,0.020186175416601285,0.09821528301461004,0.20299158024138686,0.8138353699520647
Greece,0.3598416842694215,0.14667457725413377,0.3020797082950707,0.07008346554798017,0.7694042489405633
Guatemala,0.2817427016090541,0.045788395222293915,0.0868395339215411,0.07921638781050276,0.8398987745957602
Guinea,0.33588976644532653,0.015,0.178465634392687,0.08697945447582714,0.9531539840030269
Guinea-Bissau,0.31553031506281887,0.015,0.10099246578891621,0.06738398599761089,0.7802466180332908
Guyana,0.985,0.11241287202304294,0.3788376990286528,0.0708421411236733,0.7730693857173656
Haiti,0.1600097903372478,0.015,0.42652946049648843,0.2372711124310596,0.7873227933802768
Honduras,0.2763297599061321,0.0233126375042106,0.2666469092911384,0.08400325135758714,0.781269853875541
"Hong Kong SAR, China",0.1753171927207647,0.44429145212220517,0.13074081355393705,0.055605178316646915,0.8687800237759576
Hungary,0.2771273757400121,0.15529376846781248,0.018441847295032274,0.10970075614067129,0.7775676727640002
Iceland,0.33987235328310234,0.6597082186832899,0.09001225544133477,0.08863683960870183,0.8280844507069353
India,0.3223131915221154,0.019396927304336488,0.15705607280102912,0.06645604865354655,0.8006646864076914
Indonesia,0.2664205157065117,0.03645399505542168,0.10920175312473311,0.06463798099923794,0.7924034153849798
Iraq,0.1310165881473556,0.04230364722334585,0.5473098181440998,0.06468980740625252,0.8735116035941809
Ireland,0.38038160006497973,0.8895859402511835,0.015,0.07809616394100796,0.8295619708456086
Israel,0.2869064436242908,0.4353169158317299,0.07761675190701743,0.06658714591556573,0.8293593285371423
Italy,0.2500000318327648,0.27992132793234015,0.2431555854198319,0.07196855525707309,0.8232127358019906
Jamaica,0.2406520430316265,0.046550828426908594,0.12207573725819752,0.07638043295059488,0.841006075855706
Japan,0.19453389305511906,0.264324031855553,0.06850351573693184,0.06759956944951669,0.8293999214797245
Jordan,0.2411696616937358,0.03409441821090675,0.618299828932414,0.06083596410887135,0.7645047331639716
Kazakhstan,0.2362787995565583,0.07889626588200066,0.15444105700001495,0.11283442666240649,0.7616955160046208
Kenya,0.29335412283890894,0.01751735178517787,0.21021104202548355,0.0811121825760223,0.7722416075253642
"Korea, Rep.",0.220771527021277,0.2933775903877603,0.119928247471873,0.06707763999645067,0.8282229270586451
Kuwait,0.17543305335051776,0.19655179636907114,0.10048268637707913,0.06625036966533275,0.9357792434199617
Kyrgyz Republic,0.3119680670242303,0.015,0.1497401709501868,0.09691880485040362,0.6842097654583646
Lao PDR,0.24547962802994389,0.02147772634669734,0.09061788746706012,0.16972568719060843,0.7771781995562349
Latvia,0.25184051740183716,0.17207003461154388,0.06905848280960601,0.09931622716966192,0.7830988645559508
Lebanon,0.018176860432232236,0.04734587589371955,0.3975830469980874,0.8844856025006362,0.6040160255294662
Lesotho,0.1464505199220159,0.015,0.49376067949721686,0.10088642975438006,0.7573064714421817
Liberia,0.19932580431658314,0.015,0.13489846958585178,0.13577262291801223,0.8531391275398659
Libya,0.21199982807335116,0.03816596300494312,0.5371527665705161,0.06034076128812419,0.8318924982300897
Lithuania,0.2632803764606932,0.20752086939339728,0.08014628282584581,0.10072716970003624,0.811420903143866
Luxembourg,0.22346823698388063,0.985,0.18775668694241596,0.07037711428372329,0.8665105344893872
"Macao SAR, China",0.3402649075402641,0.43849038486673897,0.0898704326962893,0.04900163073343193,0.9218096829258815
Madagascar,0.27709450099333766,0.015,0.12164400926051991,0.0921278269859326,0.7789744115516896
Malawi,0.24001017184353196,0.015,0.1748866151605445,0.19505380075450107,0.6589042343625862
Malaysia,0.2591282209709915,0.09109428482427703,0.14771259474002452,0.06293394055713844,0.7978065844759592
Maldives,0.3834652707919172,0.09980685003410254,0.0714636009479486,0.035851848405157115,0.5934306798034787
Mali,0.29025315648136185,0.015,0.12838342610495368,0.07273067830418865,0.7452229048673904
Malta,0.35772553614357394,0.32184847016551116,0.06993250215422735,0.07087256804350944,0.8932946848314264
Mauritania,0.293403057069563,0.015,0.32391962856132994,0.07439274914462528,0.736843034440474
Mauritius,0.25752061178813135,0.08771935627640716,0.19225686935581124,0.0851285710823577,0.7550488206725702
Mexico,0.21591151195451996,0.08759562496800374,0.09304237174576767,0.0882329935101714,0.7957793909249073
Moldova,0.20245944047893852,0.04602802716444717,0.046424355171086625,0.11922058715384175,0.7060798995507687
Mongolia,0.1987965699148499,0.04051510811452612,0.2199316707795117,0.09199022450238811,0.8213993736098038
Montenegro,0.3148788217910472,0.0826708890563121,0.37946269719474535,0.08987920307449067,0.6965531909995814
Morocco,0.23358590118368935,0.02849608724649532,0.29317636978763645,0.07437253212290423,0.7946291033195778
Mozambique,0.2276405399650601,0.015,0.13564924985547297,0.08322625285152184,0.6369486471871596
Myanmar,0.13415355150235894,0.015,0.12191709140131797,0.09512056753896633,0.7659461563644804
Namibia,0.20362483542409546,0.030283252564976968,0.5683154294343769,0.07739629130891172,0.7259275004107315
Nepal,0.28695033229574973,0.015,0.33414553752286485,0.08068748014480794,0.740843740093506
Netherlands,0.2628406679201701,0.4767738513906101,0.10230760277502081,0.08203167684482758,0.861054344790432
New Caledonia,0.1914825875092395,0.26175341138768987,0.29563332658451963,0.05627218286567066,0.7081497625889549
New Zealand,0.25123677677945927,0.3968637010683334,0.10517418278309863,0.07929130309341283,0.7556684322728384
Nicaragua,0.24971531759245344,0.018837515254157125,0.14781001229455235,0.08653191115508793,0.8314105893835978
Niger,0.29615636023938224,0.015,0.036869218889209146,0.08808104745568061,0.6959157551204617
Nigeria,0.1921755900840368,0.015,0.14819811757202006,0.16589713667066164,0.7879014543955036
North Macedonia,0.24474904145332219,0.06406882797213112,0.20521946825273982,0.09184078001446971,0.7789197908420842
Norway,0.22603249711074339,0.654780224141588,0.1425107320694337,0.08029475351818435,0.9009913464840588
