rank,country_name,GDP Growth (% Annual),GDP per Capita (Current USD),Unemployment Rate (%),Inflation (CPI %),Current Account Balance (% GDP),score,normalized_score
1,Ireland,8.109574269033146,111436.50541676208,-1.2192573529405308,4.278459624808704,4.148114192742412,0.38451878791118255,100.0
2,Luxembourg,1.2611047451323998,125255.06429669098,5.838205882352948,2.9667235408822705,9.033583515768157,0.3487322211286415,93.55946960780075
3,Iceland,6.3415518611616335,82666.81034444692,2.164154411764798,6.069688498330834,3.9527512719741367,0.29989014348725407,84.76933091193186
4,Switzerland,1.504583589018381,93089.03390783072,4.322580882352973,1.7584629370366827,3.5938154997244283,0.2943965149141172,83.78063920524366
5,Singapore,-0.0873241578528905,82914.24877272034,3.522720588235323,2.237855994985267,16.42544501625008,0.28791298379978475,82.61379413054374
6,Norway,1.373021646187519,82050.0611470223,4.137485294117631,4.65207676813219,13.592758017301207,0.28106199885362204,81.38081816415999
7,United States,2.7949275360881742,79829.00016716821,1.9765147058825505,4.647982421448489,-3.037365675264681,0.2770236306192663,80.65403055398474
8,"Macao SAR, China",6.3586848561715,54980.91899294173,2.1588235294117575,-0.665717540492551,16.34543184309632,0.2666658504658479,78.78993450143032
9,Denmark,2.8529609750477505,66917.0350419113,3.64241911764708,2.611162755772,9.612281417367626,0.2570980978214059,77.06802018464161
10,Netherlands,2.9795109283566035,59772.17780084524,2.626316176470766,4.947240694227844,8.312146881536691,0.2457944786915221,75.03370091086934
11,Israel,4.029859529919106,54583.75246529421,1.6982279411766967,2.322675570448453,4.121320112433807,0.2435474776222799,74.62930674906842
12,Malta,7.120752410584402,40382.93056797725,1.4093897058825178,3.0509184357829895,12.575078284032998,0.2364575115403691,73.35332120098043
13,Qatar,-4.777818112077057,58774.82489003753,-0.08319117647057794,2.3494790060808555,5.427803257059168,0.23494776635785994,73.08161143369506
14,Germany,-0.22467598765808816,52250.33441558818,1.6742720588236466,4.208255135139552,6.656671237077219,0.225080575906676,71.3058071110107
15,Australia,2.5230627677830837,58571.71158000003,4.2127941176471495,3.9713496896617073,1.1859092687901693,0.22434031017344325,71.17258103257295
16,"Hong Kong SAR, China",-0.8404432218786155,55706.93513272004,3.6950735294117827,0.4564557880147504,9.333663388841728,0.223881206453246,71.08995585421846
17,New Zealand,2.473060150198549,49771.24929731572,2.7340661764707193,4.481555500742502,-5.622349940790286,0.20809990031047076,68.2497845000127
18,United Kingdom,1.5190460454117485,46062.354048455774,1.7198750000001155,4.6637126553602,-2.1529134772721648,0.20787922254697544,68.21006898744871
19,Belgium,2.150922366643343,51240.6486058454,4.555323529411851,4.31006922290436,0.2557934417573655,0.20468505761207345,67.6352131633083
20,Austria,1.50189521492646,53406.01540426456,5.570801470588236,5.10877734329398,0.9935600743345816,0.19992292763606168,66.77816970819067
21,Slovenia,4.679727940319765,29473.822563639493,1.9097647058825942,4.683945834580754,6.403050326282994,0.19402469584458126,65.71666131192288
22,Canada,1.7365440781507218,49798.193221985246,5.8349264705883,3.8334321318528737,-0.4398535513787465,0.19164066449400213,65.2876057262708
23,Japan,-0.0017320757683876309,33183.62243974302,1.355676470588321,2.4947216824263023,4.126687454385944,0.18902528731997847,64.81691469075683
24,Sweden,0.845062356121332,53709.16052621335,7.623029411764714,5.697852191764468,5.4791439664374195,0.189017039380529,64.81543030403094
25,Bahrain,2.4625142135735416,29152.29077577195,1.3623529411764679,0.3415280605662474,1.4690542741838613,0.18891641664866837,64.79732116920857
26,Czechia,2.092867196161734,28353.78886680107,-0.5518235294116494,8.37460480374989,0.6116230453234834,0.1883551206582334,64.6963043852465
27,"Korea, Rep.",1.1434070829890857,36819.738258345285,3.288647058823537,2.406027642713191,3.9710611033052032,0.18729597584167001,64.50568944243102
28,Guyana,35.15276323063836,14171.611546933418,13.020625000000024,3.0457478396029103,-3.321534540650873,0.18293577288146773,63.72098103908007
29,Finland,0.6279089772646955,51504.43001113966,7.100051470588284,3.396525784485192,-0.8956740596470905,0.18282156067112332,63.700426197472794
30,Cyprus,8.095870295849181,32502.27586602926,4.6646176470590035,3.166936846948431,-6.7292100450623025,0.18038001185133273,63.2610191575784
31,Portugal,4.479290081565978,25054.71114827192,2.467183823529467,3.1527749137719923,3.2264107373860043,0.17899930768246508,63.01253298073266
32,Poland,3.935248327231605,19354.263318014448,-1.1821323529406982,8.461613914499708,1.7921185916616196,0.1786358013432422,62.94711252171662
33,Kuwait,-0.835386495183684,24701.78028463293,2.5577205882352985,2.265445525397098,18.192536372191398,0.17744904808050338,62.73353180850778
34,Lithuania,2.998701967794176,26074.583547095302,1.7933088235297419,8.12425777194835,1.74943827672422,0.17290340464256448,61.915449568541995
35,Hungary,3.603052997558791,19538.248673529364,-0.5260588235294108,9.649183463455643,-2.7267551715698346,0.17047708634066264,61.4787835743016
36,Croatia,6.706970868429835,18548.222631727695,2.7183014705885853,4.868668298621174,1.2253664754741749,0.16769858193582093,60.9787344309182
37,France,1.2779949616249509,41429.59524400727,6.914198529411976,3.2210262405955064,-0.6469507061691289,0.16665544227472906,60.79099994575803
38,Estonia,0.3645888302721687,29997.15967878676,2.474919117647346,8.2548273411835,-2.1820699015330547,0.16253889838965863,60.05014301573387
39,Latvia,2.499410354996332,21637.83474091871,1.3765367647060884,7.884489366301182,-1.9954014962315796,0.16113054981022026,59.796681657347605
40,Bulgaria,3.7783184745550784,13382.808350051288,0.23311764705886162,7.4522160373011275,0.43322755657721324,0.15990472658693947,59.5760694993561
41,Slovak Republic,0.9247209495110269,22385.031548529223,1.2800294117650992,7.3243258430879905,-3.9633937883638737,0.1562797556788483,58.92368125976143
42,Italy,2.419082528981562,35135.65784805141,7.920558823529575,3.2371649349484244,3.3085959551911515,0.15577963972192574,58.83367508398726
43,Saudi Arabia,0.19196747778346435,30808.848770955694,5.194080882352978,0.45440481214717465,-3.157105176014511,0.15355625506788673,58.43353118292788
44,Spain,4.092313612213161,30451.75315257338,8.025375000000167,3.7269487291248424,3.6027887358344515,0.15123400167448053,58.01559381415192
45,Viet Nam,5.579189485275748,4466.267226937431,2.0674926470588133,-1.9964052317279766,2.7157237197389463,0.14979182796012738,57.75604492547076
46,Cote d'Ivoire,7.011998415518349,2594.0182679227582,-0.13175000000001091,3.2984733265587636,-6.3487748934851425,0.1490885489692857,57.629475373766226
47,Serbia,5.067124860213028,10261.12460617628,1.55959558823497,5.0723181374999236,-2.690211325992834,0.14853354291866822,57.529590594134326
48,Maldives,8.244160798698317,12593.940573760832,1.466941176470641,-2.900324744955583,-27.073997435595174,0.14644983517981647,57.15458443324485
49,Benin,7.648341873698428,1330.9669095073405,1.4209779411764885,0.8071106161985426,-3.916256690169149,0.14541386619779317,56.96814045959853
50,"Bahamas, The",3.3334519291248057,33105.319627646764,6.880367647058961,3.0584359246580277,-11.807746790301604,0.14484646568978732,56.86602504186183
51,Oman,1.0927318519670735,18022.323906213394,2.2316617647059047,-0.015562239040434633,-9.964520686834021,0.14364360450761474,56.64954537650431
52,Papua New Guinea,0.38575268191573286,2953.52881540807,2.9329779411764534,2.616565608029532,26.68403117556545,0.1426763117834188,56.47546111113755
53,Guatemala,3.8044884772168786,5833.4138789006975,2.0448970588235653,4.468824778154399,5.514882820242406,0.1421401591938098,56.378969400456945
54,Brunei Darussalam,-0.2958415498309108,24783.964090552414,5.589036764705952,1.34558229305145,0.6217687971407031,0.14045584067062358,56.07584156188437
55,China,3.5501505720883415,13791.86732000357,4.727698529411764,-0.05312260106603617,0.9916907656986211,0.13951096530403276,55.905791762127166
56,Thailand,-0.32246085416915093,7695.550956992578,1.0299338235294115,0.6915516715956755,2.437353252224298,0.13938108463916135,55.88241705914025
57,Romania,5.016644951632259,16393.960834411555,4.104801470588313,4.823560774286705,-7.498386709632257,0.13852082167062357,55.72759500460178
58,Russian Federation,0.5474226107756692,11790.398622573586,2.619242647058968,5.060187091103018,5.392327989408045,0.13819068189460607,55.668179546448584
59,Belarus,-1.0483758348198648,7266.872170562478,2.8354852941177455,-8.992805725968992,5.585695465294066,0.13599054518640946,55.272219592473725
60,Guinea,6.167732219231588,1381.4270505297463,5.48897058823529,5.7880408888089505,20.489885815391972,0.1350942630739158,55.110915150486406
61,Cambodia,4.365973888132373,2711.887475399213,0.02683823529413587,2.427872973242714,-11.07274322356983,0.13484085945265428,55.065309945210764
62,Tanzania,4.156930935919149,1286.0812319676406,2.2831029411764874,-0.33173837169101716,-0.43419963241569803,0.13297102901885183,54.72879541420414
63,Mexico,0.9312921654521915,11065.6792911323,2.278051470588366,6.001060943992542,-0.3187376028088238,0.13274535003543883,54.688179829021465
64,Malaysia,2.817481517404474,11503.54415485292,4.333014705882334,1.701868411095603,-0.05069492594100211,0.13179885522667803,54.5178385772628
65,Philippines,3.960766859856591,3910.5739410587994,1.7841250000000741,4.34322664923522,-3.521471005213016,0.1304672455549049,54.278187967196864
66,Trinidad and Tobago,-3.4502011030551785,18340.296404852983,4.550367647058778,-0.42261631702922386,4.5789137346911275,0.13022155668035562,54.2339711896229
67,Guinea-Bissau,5.279145807095489,952.052943532708,2.5768823529411975,2.4580865258309075,-2.372535585191187,0.1293916263176652,54.0846081127791
68,Togo,4.991137998511022,953.5923034029329,2.160698529411775,4.006003072404383,-3.337505267691199,0.12825335254653913,53.87975228343597
69,Barbados,3.3632631161433437,21239.47282533074,6.713205882353009,4.7503039407425405,-4.9834674910000984,0.1281084328149877,53.853670990386604
70,Jamaica,2.0110904041727053,5928.834046893331,3.369367647059107,3.9868970166692748,5.661294095900303,0.12809140403515865,53.850606310427274
71,Indonesia,3.1357530608529487,4665.193467404373,2.885455882353,1.9914443868457283,-0.7651209884963635,0.12770905394654827,53.78179453026634
72,Niger,4.433571303047927,637.2144497224217,0.1665955882353245,5.9752400034188895,-13.523059532941147,0.12572730309053817,53.42513761217027
73,El Salvador,2.8371512868197684,5224.349133029347,3.266367647058857,2.5592419878234836,-1.5153112142133978,0.12374701892623183,53.0687446554805
74,India,5.575183836003632,2530.464470268358,4.684220588235462,2.3003975677499966,0.32721338584553905,0.12074068558458853,52.527692998483275
75,"Congo, Dem. Rep.",5.911213125996284,648.7826072702082,4.959433823529409,-0.7758483996909717,-1.653042934022153,0.12033989745795329,52.45556291330041
76,Ecuador,1.2963774746543777,6812.591040632367,4.662860294117635,-0.2847303721616754,2.1233881179006744,0.11981122503159036,52.36041741219106
77,Panama,3.7049832512536796,19629.944791698246,9.709735294117536,-1.2789807720660065,-0.2245777507175717,0.11863249333616444,52.14828034537573
78,Dominican Republic,3.746929684084563,10133.213862588163,5.848345588235318,4.728676926816135,-0.7946681671654687,0.11777110729145324,51.99325617012891
79,Bosnia and Herzegovina,4.303082721165254,7733.411985720508,5.539654411765241,4.96219196987488,-0.8396024990258866,0.11661604100160877,51.78537818088359
80,Uganda,3.9381736313308693,911.8848936900686,3.0380000000000056,1.0562021856841284,-8.36028321777576,0.11657319592400016,51.777667325965005
